Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather Condition
2/29/2012 0:00,-8.2,-13.8,64,9,25.0,102.51,Clear
2/29/2012 1:00,-9.5,-14.8,65,4,25.0,102.47,Clear
2/29/2012 3:00,-11.5,-14.7,77,0,25.0,102.45,Clear
2/29/2012 5:00,-13.1,-16.0,79,0,25.0,102.4,Clear
2/29/2012 6:00,-12.2,-15.2,78,0,25.0,102.41,Clear
3/5/2012 2:00,-14.5,-22.3,52,24,25.0,100.39,Clear
3/5/2012 3:00,-15.0,-21.5,58,22,25.0,100.47,Clear
3/5/2012 4:00,-15.5,-21.9,58,26,25.0,100.55,Clear
3/5/2012 5:00,-15.9,-22.1,59,20,25.0,100.69,Clear
3/5/2012 19:00,-10.1,-19.1,48,20,25.0,102.01,Clear
3/5/2012 21:00,-11.0,-19.6,49,17,25.0,102.23,Clear
3/5/2012 22:00,-11.6,-20.2,49,15,25.0,102.29,Clear
3/5/2012 23:00,-12.6,-20.3,53,11,25.0,102.34,Clear
3/6/2012 0:00,-13.4,-20.5,55,11,25.0,102.41,Clear
3/6/2012 1:00,-13.4,-20.3,56,11,25.0,102.5,Clear
3/6/2012 2:00,-13.7,-20.7,55,4,25.0,102.55,Clear
3/6/2012 3:00,-14.8,-21.1,59,9,25.0,102.61,Clear
3/6/2012 4:00,-14.5,-21.1,57,9,25.0,102.7,Clear
3/6/2012 5:00,-14.6,-21.0,58,13,25.0,102.85,Clear
3/6/2012 6:00,-15.3,-21.3,60,11,24.1,102.9,Clear
3/6/2012 7:00,-14.8,-20.7,61,11,48.3,103.0,Clear
3/6/2012 8:00,-13.0,-19.4,59,0,48.3,103.06,Clear
3/6/2012 9:00,-11.3,-19.1,52,6,48.3,103.1,Clear
3/7/2012 9:00,-2.5,-7.7,67,11,24.1,101.85,Clear
3/7/2012 10:00,-0.1,-6.5,62,6,24.1,101.76,Clear
3/9/2012 7:00,-5.0,-9.7,70,15,24.1,101.31,Clear
3/9/2012 8:00,-4.7,-10.2,65,15,24.1,101.41,Clear
3/9/2012 9:00,-4.0,-9.5,66,20,24.1,101.46,Clear
3/10/2012 12:00,-4.1,-12.1,54,7,48.3,102.99,Clear
3/11/2012 7:00,-1.8,-6.9,68,11,48.3,101.97,Clear
3/11/2012 8:00,0.1,-6.2,63,7,48.3,102.0,Clear
3/11/2012 10:00,3.8,-5.7,50,13,48.3,101.97,Clear
3/11/2012 11:00,5.9,-4.2,48,11,48.3,101.92,Clear
3/11/2012 12:00,6.8,-3.2,49,24,48.3,101.86,Clear
3/11/2012 13:00,9.0,-1.9,46,20,48.3,101.79,Clear
3/11/2012 14:00,9.5,-1.6,46,24,48.3,101.74,Clear
3/11/2012 15:00,10.5,-1.3,44,20,48.3,101.69,Clear
3/11/2012 16:00,10.9,-0.7,45,15,48.3,101.65,Clear
3/11/2012 17:00,10.7,-0.6,45,11,48.3,101.65,Clear
3/11/2012 18:00,9.1,-1.0,49,7,25.0,101.68,Clear
3/11/2012 19:00,7.4,-1.2,54,6,25.0,101.69,Clear
3/11/2012 20:00,4.8,-1.5,64,9,48.3,101.7,Clear
3/11/2012 22:00,5.2,-1.9,60,6,25.0,101.72,Clear
3/11/2012 23:00,6.1,-2.0,56,7,25.0,101.75,Clear
3/12/2012 0:00,6.0,-1.8,57,20,25.0,101.77,Clear
3/12/2012 5:00,2.3,-1.9,74,9,25.0,101.82,Clear
3/12/2012 6:00,3.1,-1.8,70,11,48.3,101.89,Clear
3/18/2012 3:00,3.9,2.4,90,7,25.0,101.66,Clear
3/18/2012 4:00,3.2,2.3,94,6,25.0,101.69,Clear
3/18/2012 5:00,3.5,2.4,92,6,25.0,101.7,Clear
3/18/2012 6:00,3.6,2.6,93,7,24.1,101.72,Clear
3/18/2012 11:00,14.1,7.6,65,13,48.3,101.71,Clear
3/18/2012 12:00,17.3,8.7,57,11,48.3,101.63,Clear
3/18/2012 20:00,12.8,8.6,76,7,25.0,101.34,Clear
3/19/2012 1:00,10.8,8.5,86,6,25.0,101.39,Clear
3/19/2012 2:00,10.6,8.6,87,4,25.0,101.42,Clear
3/19/2012 3:00,10.2,8.3,88,11,25.0,101.42,Clear
3/19/2012 4:00,11.2,9.0,86,6,25.0,101.49,Clear
3/19/2012 5:00,9.7,8.1,90,7,25.0,101.5,Clear
3/19/2012 21:00,9.5,4.1,69,15,25.0,101.8,Clear
3/19/2012 22:00,8.8,2.7,66,17,25.0,101.83,Clear
3/19/2012 23:00,7.2,1.8,69,9,25.0,101.86,Clear
3/20/2012 0:00,7.1,1.0,65,11,25.0,101.85,Clear
3/20/2012 1:00,6.1,0.7,68,11,25.0,101.85,Clear
3/20/2012 2:00,5.7,0.4,69,11,25.0,101.85,Clear
3/20/2012 3:00,5.2,0.2,70,7,25.0,101.86,Clear
3/20/2012 4:00,5.2,-0.2,68,4,25.0,101.88,Clear
3/20/2012 5:00,5.0,-0.3,69,7,25.0,101.92,Clear
3/20/2012 6:00,3.2,-0.6,76,4,24.1,101.97,Clear
3/20/2012 7:00,5.5,-0.1,67,4,24.1,102.0,Clear
3/20/2012 8:00,8.0,0.6,60,6,24.1,102.08,Clear
3/20/2012 11:00,14.9,4.0,48,6,24.1,102.02,Clear
3/20/2012 12:00,16.5,6.7,52,9,24.1,101.98,Clear
3/20/2012 13:00,20.0,10.8,55,13,24.1,101.93,Clear
3/20/2012 14:00,21.5,11.8,54,11,24.1,101.83,Clear
3/20/2012 15:00,22.5,12.3,52,9,24.1,101.78,Clear
3/20/2012 16:00,23.3,12.1,49,7,24.1,101.73,Clear
3/20/2012 17:00,22.0,12.1,53,7,24.1,101.72,Clear
3/20/2012 18:00,19.7,11.7,60,4,24.1,101.74,Clear
3/20/2012 19:00,17.5,10.9,65,6,25.0,101.79,Clear
3/20/2012 20:00,18.1,11.6,66,4,25.0,101.85,Clear
3/20/2012 21:00,16.0,10.9,72,6,25.0,101.89,Clear
3/20/2012 22:00,14.2,10.3,77,4,25.0,101.9,Clear
3/20/2012 23:00,14.3,10.7,79,6,25.0,101.91,Clear
3/21/2012 0:00,14.0,11.0,82,9,25.0,101.9,Clear
3/21/2012 1:00,12.4,10.5,88,4,25.0,101.92,Clear
3/21/2012 2:00,11.8,10.3,91,6,25.0,101.93,Clear
3/21/2012 3:00,11.4,9.8,90,4,25.0,101.93,Clear
3/21/2012 4:00,10.6,9.1,90,0,25.0,101.95,Clear
3/21/2012 5:00,10.0,8.8,92,0,25.0,102.02,Clear
3/21/2012 8:00,13.8,11.5,86,9,12.9,102.15,Clear
3/21/2012 9:00,15.9,11.8,77,7,19.3,102.17,Clear
3/21/2012 10:00,18.2,12.5,69,13,24.1,102.09,Clear
3/21/2012 11:00,20.2,12.3,60,15,24.1,102.01,Clear
